system:index,dsnr,dur,mag,preval,rate,yod,.geo
17559,6.153695106506348,2.0,426.5615539550781,660.3162231445312,213.28077697753906,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.31631507915898,14.67452349186213]}"
17560,5.222085475921631,1.0,253.67478942871094,705.0742797851562,253.67478942871094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.94290204132513,15.29133135391927]}"
17561,3.5470643043518066,2.0,435.7368469238281,527.343017578125,217.86842346191406,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.4706404168209,14.92585529991224]}"
17562,4.068605899810791,1.0,222.51800537109375,782.9426879882812,222.51800537109375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.78419545972885,13.16102420528365]}"
17563,5.056276798248291,1.0,373.5551452636719,757.6113891601562,373.5551452636719,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.28519898826856,14.746844541931697]}"
17564,6.607490062713623,1.0,353.64227294921875,760.1654052734375,353.64227294921875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.4093778410431,14.584641025040547]}"
17565,9.697822570800781,1.0,344.6080322265625,767.9905395507812,344.6080322265625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.39239743810151,14.576588312777695]}"
17566,3.595362901687622,2.0,222.17367553710938,736.3253784179688,111.08683776855469,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.9867315034478,12.371709437592939]}"
17567,2.621493339538574,1.0,218.34388732910156,509.2756652832031,218.34388732910156,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.0132348921332,14.589369480068866]}"
17568,6.871513843536377,2.0,351.1436767578125,484.2081298828125,175.57183837890625,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.63922367765728,16.94278275198888]}"
17569,5.61332893371582,2.0,331.652099609375,628.51708984375,165.8260498046875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.22324505946449,16.01365688018525]}"
17570,3.6504461765289307,2.0,523.18115234375,707.9700317382812,261.590576171875,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.30677646945928,14.452954126506908]}"
17571,3.2660508155822754,2.0,388.5578308105469,660.6752319335938,194.27891540527344,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.95278803324524,17.831680974195645]}"
17572,7.1921281814575195,1.0,359.3115539550781,784.7858276367188,359.3115539550781,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.17578744500769,14.319728987406762]}"
17573,2.584606170654297,2.0,238.0782928466797,674.7826538085938,119.03914642333984,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.53692974413171,17.13247174846712]}"
17574,1.8067991733551025,1.0,264.33734130859375,561.4619750976562,264.33734130859375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.35902284216976,14.358024562538025]}"
17575,3.8224599361419678,2.0,425.4401550292969,483.00946044921875,212.72007751464844,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[76.51301802055093,14.97330528635203]}"
17576,39.88029479980469,1.0,775.5726318359375,831.6165771484375,775.5726318359375,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.69528483997024,13.886135245864264]}"
17577,13.396430015563965,2.0,204.4280548095703,808.6234741210938,102.21402740478516,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.98865147734156,12.49326866691612]}"
17578,11.361111640930176,1.0,639.1110229492188,654.0595092773438,639.1110229492188,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[74.98297398751585,13.945934062641609]}"
17579,8.46983814239502,2.0,339.8407897949219,665.699951171875,169.92039489746094,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[75.48514849040494,13.935682174454064]}"
